ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 11 45359 12 45613 14 45869 14 46124 15 46380 15 46636 14 46893 12 47149 10 47406 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50278 10 50533 12 50787 14 51043 15 51297 17 51553 17 51809 17 52065 17 52320 18 52577 16 52833 16 53089 16 53345 15 53602 13 53859 10 54117 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 9 11400 12 11655 14 11911 14 12166 15 12421 15 12677 15 12933 14 13189 14 13445 13 13701 12 13957 11 14213 10 14471 6 14729 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 3 31378 3 31388 5 31631 8 31643 7 31884 13 31899 8 32139 24 32393 25 32648 26 32903 20 32926 2 33159 20 33415 20 33671 19 33927 18 34183 18 34439 17 34695 16 34951 14 35208 13 35466 8 35724 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51096 8 51350 10 51605 12 51859 14 52115 14 52371 13 52626 13 52881 14 53137 14 53393 12 53649 12 53905 10 54161 10 54417 8 54673 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 6 38819 7 39073 10 39327 12 39582 13 39837 14 40093 14 40349 14 40605 13 40861 13 41117 12 41374 11 41631 9 41887 8 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47750 3 48269 6 48787 8 49306 8 49825 8 50344 8 50362 7 50863 8 50880 10 51382 8 51398 12 51901 9 51917 13 52420 10 52436 13 52939 13 52954 15 53458 31 53977 32 54496 32 55015 32 55534 32 56053 33 56572 33 57091 33 57610 33 58129 34 58648 34 59167 34 59686 34 60206 34 60725 34 61244 34 61763 34 62282 34 62801 34 63320 34 63839 35 64358 34 64877 34 65396 34 65915 35 66434 35 66953 35 67472 36 67991 36 68510 37 69030 37 69549 38 70068 38 70588 38 71108 37 71627 39 72146 40 72666 39 73185 40 73704 40 74223 13 74237 28 74742 11 74758 28 75261 10 75279 38 75780 9 75799 40 76299 8 76319 40 76821 3 76840 39 77360 39 77881 37 78402 5 78409 29 78930 27 79451 25 79970 26 80490 25 81010 24 81530 23 82049 23 82569 22 83088 23 83608 22 84127 22 84646 22 85123 4 85167 20 85643 4 85687 19 86163 4 86206 19 86682 5 86725 19 87201 6 87243 20 87720 7 87761 21 88239 7 88277 24 88758 8 88796 24 89277 9 89314 25 89796 10 89833 25 90316 10 90352 8 90363 14 90835 11 90871 8 90882 14 91354 13 91389 9 91400 15 91874 13 91908 10 91919 15 92394 13 92427 10 92438 15 92914 12 92946 10 92961 12 93433 13 93465 10 93481 12 93952 13 93983 11 94000 13 94472 12 94502 11 94520 13 94991 12 95020 11 95040 14 95511 13 95536 14 95560 14 96031 13 96053 16 96079 15 96551 12 96569 19 96598 16 97071 37 97117 17 97590 39 97634 20 98109 64 98629 64 99148 44 99193 20 99668 43 99713 20 100187 43 100233 19 100707 42 100755 17 101226 42 101276 15 101745 42 101797 14 102264 42 102317 14 102783 42 102837 13 103302 43 103357 13 103821 44 103877 13 104341 44 104396 14 104861 44 104916 13 105381 44 105435 14 105901 44 105955 14 106421 44 106475 14 106941 43 106996 13 107462 41 107516 12 107982 41 108036 12 108504 38 108556 12 109026 36 109076 12 109546 37 109597 12 110066 38 110118 11 110587 37 110638 11 111108 35 111159 10 111627 35 111679 10 112147 34 112199 11 112668 33 112719 11 113187 14 113203 17 113238 12 113707 33 113759 11 114226 34 114279 13 114746 33 114798 13 115267 10 115280 19 115318 12 115787 31 115837 12 116306 30 116356 12 116826 28 116876 11 117347 25 117395 12 117866 25 117915 12 118386 23 118435 12 118905 17 118955 11 119425 10 119475 11 119944 9 119995 10 120463 9 120514 11 120985 5 121034 11 121505 3 121555 9 122024 5 122074 10 122543 6 122594 10 123062 6 123113 10 123581 7 123633 9 124101 8 124151 12 124620 9 124670 12 124700 1 125140 9 125189 13 125210 11 125659 10 125708 13 125727 15 126179 10 126230 32 126699 10 126750 32 127219 9 127271 30 127740 7 127792 29 128260 5 128313 27 128780 4 128833 26 129350 29 129869 30 130388 29 130914 20
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118334 4 118853 6 119371 7 119890 8 120409 8 120928 8 121447 8 121966 8 122485 8 123004 9 123523 9 124042 9 124561 10 125080 10 125599 10 126118 10 126637 10 127156 10 127675 10 128194 9 128713 9 129232 9 129752 7 130271 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24418 7 24934 12 25451 16 25968 19 26486 20 27004 22 27521 24 28039 25 28557 26 29076 27 29594 27 30112 28 30631 28 31149 29 31668 29 32187 29 32706 29 33225 28 33744 28 34263 27 34782 25 35302 24 35821 23 36341 20 36861 18 37381 16 37900 14 38421 10 38943 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117844 7 118361 12 118879 14 119397 17 119915 19 120434 19 120953 20 121471 21 121990 21 122509 22 123028 22 123547 23 124065 24 124584 24 125102 25 125621 25 126140 26 126659 26 127178 25 127697 25 128217 24 128736 23 129256 22 129775 21 130296 17 130819 10
